quintile;typmen;typmen_corr;MI ;prix_elec;prix_gaz;prix_fuel;prix_gpl;prix_bois;prix_chaleur
1;Célib.<=65;1;0;121.49;62.11;71.8;113.09;37.1;66.1
1;Célib.<=65;1;1;112.32;83.81;71.8;113.09;37.1;66.1
1;Célib.>65;2;0;143.03;74.34;71.8;113.09;37.1;66.1
1;Célib.>65;2;1;133.83;81.4;71.8;113.09;37.1;66.1
1;Fam. monop.;5;0;117.62;65.1;71.8;113.09;37.1;66.1
1;Fam. monop.;5;1;116.51;58.82;71.8;113.09;37.1;66.1
1;Couple avec enf.;6;0;121.65;67.29;71.8;113.09;37.1;66.1
1;Couple avec enf.;6;1;113.33;61.56;71.8;113.09;37.1;66.1
1;Couple s enf.<=65;3;0;117.51;75.73;71.8;113.09;37.1;66.1
1;Couple s enf.<=65;3;1;126.36;86.27;71.8;113.09;37.1;66.1
1;Couple s enf.>65;4;0;152.66;97.54;71.8;113.09;37.1;66.1
1;Couple s enf.>65;4;1;124.33;55.8;71.8;113.09;37.1;66.1
2;Célib.<=65;1;0;126.01;81.66;71.8;113.09;37.1;66.1
2;Célib.<=65;1;1;108.35;48.45;71.8;113.09;37.1;66.1
2;Célib.>65;2;0;107.03;65.3;71.8;113.09;37.1;66.1
2;Célib.>65;2;1;119.13;43.57;71.8;113.09;37.1;66.1
2;Fam. monop.;5;0;112.48;67.23;71.8;113.09;37.1;66.1
2;Fam. monop.;5;1;114.28;63.77;71.8;113.09;37.1;66.1
2;Couple avec enf.;6;0;124.09;68.97;71.8;113.09;37.1;66.1
2;Couple avec enf.;6;1;112.32;60.19;71.8;113.09;37.1;66.1
2;Couple s enf.<=65;3;0;95.65;59.88;71.8;113.09;37.1;66.1
2;Couple s enf.<=65;3;1;118.03;58;71.8;113.09;37.1;66.1
2;Couple s enf.>65;4;0;118.47;50.4;71.8;113.09;37.1;66.1
2;Couple s enf.>65;4;1;116.79;70.14;71.8;113.09;37.1;66.1
3;Célib.<=65;1;0;124.71;68.8;71.8;113.09;37.1;66.1
3;Célib.<=65;1;1;122.47;53.26;71.8;113.09;37.1;66.1
3;Célib.>65;2;0;140.95;67.29;71.8;113.09;37.1;66.1
3;Célib.>65;2;1;121.09;58.58;71.8;113.09;37.1;66.1
3;Fam. monop.;5;0;108.04;67.97;71.8;113.09;37.1;66.1
3;Fam. monop.;5;1;116.03;57.51;71.8;113.09;37.1;66.1
3;Couple avec enf.;6;0;126.95;64.98;71.8;113.09;37.1;66.1
3;Couple avec enf.;6;1;114.52;53.12;71.8;113.09;37.1;66.1
3;Couple s enf.<=65;3;0;123.52;62.52;71.8;113.09;37.1;66.1
3;Couple s enf.<=65;3;1;114.27;54.22;71.8;113.09;37.1;66.1
3;Couple s enf.>65;4;0;108.33;22.09;71.8;113.09;37.1;66.1
3;Couple s enf.>65;4;1;110.14;48.54;71.8;113.09;37.1;66.1
4;Célib.<=65;1;0;123.05;75.22;71.8;113.09;37.1;66.1
4;Célib.<=65;1;1;122.63;62.34;71.8;113.09;37.1;66.1
4;Célib.>65;2;0;154.12;80.68;71.8;113.09;37.1;66.1
4;Célib.>65;2;1;115.38;35.86;71.8;113.09;37.1;66.1
4;Fam. monop.;5;0;113.48;70.86;71.8;113.09;37.1;66.1
4;Fam. monop.;5;1;122.35;58.67;71.8;113.09;37.1;66.1
4;Couple avec enf.;6;0;118.52;65.89;71.8;113.09;37.1;66.1
4;Couple avec enf.;6;1;112.01;56.68;71.8;113.09;37.1;66.1
4;Couple s enf.<=65;3;0;121.08;71.99;71.8;113.09;37.1;66.1
4;Couple s enf.<=65;3;1;114.52;63.6;71.8;113.09;37.1;66.1
4;Couple s enf.>65;4;0;119.88;58.21;71.8;113.09;37.1;66.1
4;Couple s enf.>65;4;1;111.5;55.71;71.8;113.09;37.1;66.1
5;Célib.<=65;1;0;131;74.16;71.8;113.09;37.1;66.1
5;Célib.<=65;1;1;118.51;58.38;71.8;113.09;37.1;66.1
5;Célib.>65;2;0;123.89;62.98;71.8;113.09;37.1;66.1
5;Célib.>65;2;1;119.69;51.23;71.8;113.09;37.1;66.1
5;Fam. monop.;5;0;124.88;63.12;71.8;113.09;37.1;66.1
5;Fam. monop.;5;1;111.5;59.09;71.8;113.09;37.1;66.1
5;Couple avec enf.;6;0;115.28;61.42;71.8;113.09;37.1;66.1
5;Couple avec enf.;6;1;111.15;58.4;71.8;113.09;37.1;66.1
5;Couple s enf.<=65;3;0;121.32;64.32;71.8;113.09;37.1;66.1
5;Couple s enf.<=65;3;1;112.37;55.38;71.8;113.09;37.1;66.1
5;Couple s enf.>65;4;0;135.33;61.68;71.8;113.09;37.1;66.1
5;Couple s enf.>65;4;1;116.34;48.88;71.8;113.09;37.1;66.1
